"","logFC","logCPM","F","PValue","FDR","genes"
"alkB",-0.236291031263667,3.59436605896928,1.61847204693047,0.216184811350705,0.27855245937756,"alkB"
"SL1344_4397",0.355648870344573,2.15462729135165,1.61327171807557,0.216899418266249,0.279398797910478,"SL1344_4397"
"rtcB",0.127847408854749,5.90895461901471,1.61115022494926,0.217191796537933,0.279552080855237,"rtcB"
"SL1344_P1_0098",0.497956245936885,0.956711304362064,1.61143106218039,0.217153063916496,0.279552080855237,"SL1344_P1_0098"
"SL1344_P2_0003",-0.168500081083291,5.32581032100307,1.61151726869803,0.217141176192059,0.279552080855237,"SL1344_P2_0003"
"SL1344_4468",0.377738357611707,1.61882574362056,1.60865315658385,0.217536570160133,0.279921359368067,"SL1344_4468"
"yabF",0.182909709683778,4.03926596576214,1.60581250984488,0.217929618676154,0.28035254402568,"yabF"
"cbiD",0.217115418909675,3.6808622223851,1.605142601806,0.218022441104771,0.280379741494631,"cbiD"
"ssbB",0.347874682416394,1.93902112698058,1.6048233677221,0.218066691648295,0.280379741494631,"ssbB"
"samB2",0.135341678812468,8.40241376317024,1.59990161773309,0.21875034981416,0.281184013300848,"samB2"
"tus",-0.153682796472467,4.58853323393915,1.59304539920101,0.219707216025043,0.282338948967358,"tus"
"csgG",0.221274103221217,3.66015103269929,1.59219181967471,0.219826711482712,0.282417477673805,"csgG"
"SL1344_0035",0.246566504599201,3.4985543204351,1.57578220851371,0.222139941981383,0.285162128281303,"SL1344_0035"
"priC",-0.135732431569499,5.42325316020878,1.57618492759041,0.222082805303993,0.285162128281303,"priC"
"modC",-0.180584612910987,6.27742127857601,1.58231353446839,0.222126926580097,0.285162128281303,"modC"
"yabN",0.132319853993141,6.00986983493919,1.56431461120052,0.223774743324759,0.287051080052146,"yabN"
"garL",-0.265664001008678,2.87325470167431,1.56421185207795,0.223789461004061,0.287051080052146,"garL"
"yhjE",-0.194442950551013,4.64962979514777,1.56425257822876,0.223783627853352,0.287051080052146,"yhjE"
"SL1344_3012",0.148002265237229,7.35748164914397,1.55804658647747,0.224674722537153,0.288110189001116,"SL1344_3012"
"SL1344_0163",-0.377820722193516,5.29589014347022,1.64133826283994,0.225016098757204,0.288471473545877,"SL1344_0163"
"SL1344_2639",0.421719384193469,0.594198110665357,1.55261068356047,0.225458928781958,0.288962596321762,"SL1344_2639"
"ydhB",-0.148856756360964,4.67130555802902,1.55077038364853,0.225725201881074,0.289227232185101,"ydhB"
"mutY",-0.1271231053714,7.75158680130809,1.54738586087965,0.226215947638921,0.289779274027929,"mutY"
"SL1344_2565",0.293551017452593,2.55647278936116,1.54133184668517,0.227097132792109,0.29083103820901,"SL1344_2565"
"SL1344_4369A",-0.335734748435407,1.66535705306301,1.53994826712964,0.227299127636612,0.291012673472285,"SL1344_4369A"
"SL1344_2562",0.220280459648832,3.00234711406946,1.53930647364467,0.22739290309845,0.291055695233449,"SL1344_2562"
"SL1344_2691",0.269865226728725,2.56324935526369,1.53594221246051,0.22788527330173,0.291608747873139,"SL1344_2691"
"yfeK",-0.259570595770892,3.27221315420741,1.53441143755495,0.22810975393304,0.291818799199713,"yfeK"
"glpF",0.228149488179222,5.10958894929482,1.55387825955172,0.228309863061181,0.291997569441283,"glpF"
"nfi",-0.162255247522644,6.18415016443425,1.52980171336393,0.228787441499739,0.292531021552799,"nfi"
"yeiA",0.176183201193319,3.97328376707167,1.52797795079214,0.229056261878253,0.292797341095431,"yeiA"
"SL1344_0561",0.231054561237935,3.61905237983499,1.52460306884657,0.229554772302517,0.293357049835475,"SL1344_0561"
"SL1344_0319",0.248856681557758,3.7476967442035,1.52478350458045,0.229928204744772,0.293753783053645,"SL1344_0319"
"recD",-0.142766872822957,6.69504491092113,1.52168658117503,0.229986681088309,0.293753783053645,"recD"
"SL1344_1485",-0.170676864242129,4.15630771086879,1.52038946041865,0.230179105594308,0.293921946610261,"SL1344_1485"
"SL1344_P1_0017",0.226448431958755,3.36171857603987,1.51957866911475,0.230299488133335,0.29399805333886,"SL1344_P1_0017"
"comP",-0.282156580575373,2.70782881943538,1.50981203896659,0.231755890855397,0.295779220070595,"comP"
"SL1344_1264",-0.299109799596031,3.91822469585828,1.53183783085691,0.232285928493239,0.296299323871782,"SL1344_1264"
"fucI",0.192717891010672,3.63036253302498,1.50639989765408,0.232267466346008,0.296299323871782,"fucI"
"SL1344_0234",-0.122204722157791,5.95683983151548,1.50268361016228,0.232826275659993,0.296796213373881,"SL1344_0234"
"ydgT",-0.261958750002265,7.09210544893298,1.5617400491169,0.232978794010695,0.296796213373881,"ydgT"
"opdB",0.113975529763099,6.62104554017046,1.50322588471113,0.23274462871467,0.296796213373881,"opdB"
"STM2208",-0.244451711532039,2.95712648990953,1.5019613025222,0.232935085645623,0.296796213373881,"STM2208"
"SL1344_3143",0.337037392907449,2.77216769209302,1.51089583665929,0.232982266318095,0.296796213373881,"SL1344_3143"
"citG",0.263653831921166,3.06040312058791,1.49923802980979,0.233345907271569,0.297181188381406,"citG"
"csgA",-0.242721692096077,2.86859946408215,1.49343080203795,0.234225044475968,0.298006246852833,"csgA"
"SL1344_3616",0.183753657210722,4.36740773116683,1.4933310659733,0.234240179974048,0.298006246852833,"SL1344_3616"
"yddA",0.283934746213619,2.80648190599343,1.49424091490283,0.234102151483262,0.298006246852833,"yddA"
"STnc290",-0.231095778170912,3.2909932016012,1.49385575946179,0.234160568791159,0.298006246852833,"STnc290"
"nadB",0.142191463007922,5.44235767553076,1.48729341251865,0.235158751034641,0.29909620792915,"nadB"
"tyrB",-0.139419041230485,6.75036405073619,1.48662494224423,0.235260734222236,0.299147258526013,"tyrB"
"hybD",-0.161302862622115,4.83268630161339,1.48304212516906,0.235808297442735,0.299764713463997,"hybD"
"yjfY",0.23816855861473,2.81076862173163,1.48090126458304,0.236136261180943,0.300102757575466,"yjfY"
"yfiO",-0.114235929641611,8.33895061436872,1.47970203372037,0.236320228405877,0.300257668715321,"yfiO"
"sciW",0.20538621966074,3.44489415164107,1.47805088703764,0.236573820575258,0.300478844539108,"sciW"
"glpE",0.148691377268855,6.56387477967642,1.4777598965481,0.236618548449341,0.300478844539108,"glpE"
"bfd",-0.323006980194638,6.17225691816332,1.55306531067001,0.236931467248591,0.300797245953132,"bfd"
"yehW",-0.179370980255553,4.52734673970836,1.46750836180269,0.238201210377824,0.302268831708813,"yehW"
"SL1344_3105",0.278711892064669,2.1809249961274,1.46741564784613,0.238215585378126,0.302268831708813,"SL1344_3105"
"SL1344_2599",0.240441388014766,2.37423210443136,1.46677235050439,0.238315357070666,0.302316124351117,"SL1344_2599"
"SL1344_0845",0.193804534551657,3.83869898897117,1.46127594789713,0.239169997129822,0.303320733119283,"SL1344_0845"
"IsrO",-0.319627107625558,2.23799785489969,1.46085564754557,0.239235511003644,0.303324290098198,"IsrO"
"sseA",0.296592031118779,2.66932660001153,1.45908856120728,0.239511204753191,0.303594260322637,"sseA"
"fieF",0.131249515850032,8.15834023231167,1.45718568680621,0.239808537858913,0.303891511035777,"fieF"
"SL1344_1940",0.202071560398157,3.64060805576599,1.45665970478887,0.239890808262225,0.303916144464217,"SL1344_1940"
"znuA",-0.12771548415182,7.16820756310628,1.45373062118935,0.240349615562121,0.304417672289599,"znuA"
"orf32",0.20075467419417,4.16769139554606,1.45256316136829,0.240532797498621,0.304490222847639,"orf32"
"SL1344_1987",0.155830844872128,4.03914192934396,1.4525889630981,0.240528747112284,0.304490222847639,"SL1344_1987"
"yrdD",-0.144632467811229,6.76930618376627,1.45098444649672,0.240780792129926,0.304724409087507,"yrdD"
"yijF",0.265197029262661,2.82461699731943,1.45020281084857,0.240903697535249,0.304800205330369,"yijF"
"hlpA",-0.122844304624329,9.17787198927391,1.44941858767516,0.241027090491907,0.304876578637384,"hlpA"
"trpC",-0.15907507556574,5.28349047006526,1.44308092456915,0.242027259601159,0.306061661357074,"trpC"
"rhaR",0.237837589568519,2.66810932586681,1.44261465676916,0.242101052663451,0.306074958633851,"rhaR"
"SL1344_3263",-0.14044088270572,5.46838323940184,1.43974528160338,0.242555804294751,0.306569747941916,"SL1344_3263"
"SL1344_3732",0.225021238054602,3.2631846697507,1.43646618155269,0.243076831914235,0.30714802402538,"SL1344_3732"
"garD",0.209030296677726,4.17228755850078,1.4323314613419,0.243779432693812,0.307955371099496,"garD"
"yfiK",0.243406220132,2.82259651103207,1.42098336517254,0.245556432071938,0.310119180661087,"yfiK"
"SL1344_1165",-0.177849257292425,4.75618690423643,1.41727361182577,0.246155372136044,0.31079444923572,"SL1344_1165"
