"","logFC","logCPM","F","PValue","FDR","genes"
"fadL",-1.9383354454225,8.16820083148122,230.974955773887,2.19285750205579e-13,1.48441597297249e-11,"fadL"
"SL1344_1873",1.57961679266884,7.17394865129985,230.387572254189,2.25154841859229e-13,1.49188215078505e-11,"SL1344_1873"
"SL1344_1025",1.33621131766427,7.52457840943576,228.339244033218,2.46997682306565e-13,1.5929703857558e-11,"SL1344_1025"
"rlgA2",1.53698839016666,8.52801731060221,228.46770567064,2.45562092363547e-13,1.5929703857558e-11,"rlgA2"
"SL1344_4015",2.09562608878901,5.65465693596883,236.232853245317,2.60408848091916e-13,1.65736526081658e-11,"SL1344_4015"
"SL1344_1423",1.88857309950315,4.40661088584729,224.839535609947,2.89844963170353e-13,1.82075335955195e-11,"SL1344_1423"
"yaiB",2.15873944302675,8.91844588950852,277.016907426912,3.11237969276467e-13,1.93007443255163e-11,"yaiB"
"SL1344_P1_0064",1.8072102994406,7.18987151221958,231.97025626179,3.19297348885809e-13,1.95498895767172e-11,"SL1344_P1_0064"
"ydiR",1.56377147267371,5.48019106079685,216.810850107282,4.22031860730782e-13,2.55171013794349e-11,"ydiR"
"asnA",-1.48795665796205,7.57268302916821,216.524445770348,4.27826133251978e-13,2.55480865004916e-11,"asnA"
"yihX",1.43961754599956,8.30351716781739,216.154506503973,4.35438884080062e-13,2.568558393043e-11,"yihX"
"yqaE",2.71601205988015,3.37309722494737,213.747291095548,4.88723929853388e-13,2.8481417454227e-11,"yqaE"
"rbn",1.47620799377239,7.38850409015888,213.392550848819,4.97158990780369e-13,2.86280718857696e-11,"rbn"
"cdh-a",1.37225845799143,9.30760845952617,211.923868039354,5.33806148024695e-13,3.037670985877e-11,"cdh-a"
"ycaM",1.54965581880011,6.03267355362324,210.738007795998,5.65543234320096e-13,3.0878823388135e-11,"ycaM"
"SL1344_1424",2.18963887990989,4.04113719135561,210.643292413859,5.68165243238374e-13,3.0878823388135e-11,"SL1344_1424"
"arnT",1.52575889549656,6.76175556862482,210.67147235827,5.67383757297259e-13,3.0878823388135e-11,"arnT"
"hypC",1.73044238562327,4.85844220887799,211.022081172254,5.5775787096626e-13,3.0878823388135e-11,"hypC"
"kefB",1.44299296612171,7.37121458399257,210.05599071793,5.84721777593703e-13,3.14255470913416e-11,"kefB"
"ybiJ",2.33780974950184,7.4125883443447,287.562080676116,6.19582054467271e-13,3.27649756768429e-11,"ybiJ"
"yncD",1.43011520431617,5.91153559824094,208.758480093284,6.231915985672e-13,3.27649756768429e-11,"yncD"
"ybiH",1.73181480448327,6.97297584360649,209.44541400456,6.87865969222045e-13,3.57764268078175e-11,"ybiH"
"purR",-1.4411376067703,7.45512248319199,200.898818606469,9.23959281001781e-13,4.62203170059885e-11,"purR"
"pdgL",1.78550301147632,6.49012290787246,205.664593591228,9.07085234503918e-13,4.62203170059885e-11,"pdgL"
"treA",1.45238195899516,5.83383844502522,200.829979536513,9.27208396826943e-13,4.62203170059885e-11,"treA"
"fis",-2.23261760722795,9.17683058638467,216.894071221225,9.36446364810186e-13,4.62203170059885e-11,"fis"
"glgX",1.5348546242146,6.74772210744317,201.221858301324,9.08876816507639e-13,4.62203170059885e-11,"glgX"
"phoH",1.75006545099363,5.19377993339329,197.677464870897,1.09019444306421e-12,5.2732705211016e-11,"phoH"
"yeiG",1.24535016411079,7.89624231349255,197.794834652179,1.08359650359213e-12,5.2732705211016e-11,"yeiG"
"InvS",2.34772891095282,3.60768659820891,197.167899572454,1.11935088289895e-12,5.36069328770515e-11,"InvS"
"ygdR",1.66729219756533,5.01013048122271,196.54700788294,1.1560293824692e-12,5.4820726696113e-11,"ygdR"
"yeaG",1.53647091241961,6.15484578667752,192.290326645995,1.44562087172746e-12,6.78880403548127e-11,"yeaG"
"basR",1.50294965568982,7.93047857070458,191.882774419604,1.47723957965947e-12,6.87058446808927e-11,"basR"
"pagK",2.30814490237864,6.17422847978023,240.895830169865,1.64894270001968e-12,7.59612937142398e-11,"pagK"
"yiiD",1.56023276656161,8.40781278844644,189.641157141335,1.66516217133966e-12,7.59848058751881e-11,"yiiD"
"yhaK",1.66690560389706,4.92042228892799,189.149774627247,1.70974115997469e-12,7.72898877644633e-11,"yhaK"
"alr-a",1.45669392221762,5.41613204130058,188.947417238885,1.72847543580681e-12,7.74132933610882e-11,"alr-a"
"orf319",1.36840688069561,7.03009847976179,187.194481988574,1.90043598401146e-12,8.43340261895727e-11,"orf319"
"ydiY",-1.82280270500509,7.4536260066614,186.321907083863,1.99290180199566e-12,8.76333274204819e-11,"ydiY"
"yraP",1.31331413308451,7.9504161219217,185.999355275849,2.02831217268389e-12,8.83869007141619e-11,"yraP"
"tal",1.55069427259742,5.6002838583467,185.08107181759,2.13292683937643e-12,9.21157778755695e-11,"tal"
"yeeF",-2.10255149192765,9.97099590185652,192.584669770072,2.31405567837482e-12,9.90538700557432e-11,"yeeF"
"ramA",1.45957457241348,5.64013730318222,183.282438330921,2.35525915494376e-12,9.99332327409033e-11,"ramA"
"ydcW",1.37896975010761,6.67450651147043,182.985474938928,2.39433505101922e-12,1.00707814276347e-10,"ydcW"
"ybhR",1.57182928934006,5.87951776149472,181.859199651695,2.54907484776064e-12,1.06292026194985e-10,"ybhR"
"SL1344_0835",1.5944435069639,6.299068110806,181.469207714971,2.60516569781556e-12,1.06347549352582e-10,"SL1344_0835"
"fabA",-1.32717293166316,8.67557105568665,181.297837233696,2.63023670204665e-12,1.06347549352582e-10,"fabA"
"SL1344_3646",2.1543625801817,5.45740871224817,204.995915064244,2.59942134384658e-12,1.06347549352582e-10,"SL1344_3646"
"msrA",1.35324345317312,6.81287371731074,181.242750203331,2.63835144145336e-12,1.06347549352582e-10,"msrA"
"rlgA",1.33109607891936,8.745392746601,181.012633984164,2.67254512268108e-12,1.06835543457921e-10,"rlgA"
"ybhF",1.68089205343928,7.41572037262159,190.869241783522,2.94207096628908e-12,1.14901316009572e-10,"ybhF"
"yoeI",-2.23228669353046,5.57327997759117,185.662042928546,2.94557849600722e-12,1.14901316009572e-10,"yoeI"
"fic",1.9783761079541,4.79782506418777,179.473743501828,2.91398987006813e-12,1.14901316009572e-10,"fic"
"yehY",1.58943082985663,4.90057526408346,178.801126127101,3.02688860181980e-12,1.17128481336019e-10,"yehY"
"lysA",1.6276647664787,6.98397592319015,184.947416329935,3.07273617372003e-12,1.17238934034305e-10,"lysA"
"yjgB",1.57812773710284,5.56588501747673,178.504289202713,3.078218859284e-12,1.17238934034305e-10,"yjgB"
"yraO",1.25426086686958,8.0203057425385,176.733787676968,3.40475093529873e-12,1.28662345890937e-10,"yraO"
"katE",1.41318982288875,5.97261028486136,173.707127504828,4.05368812863696e-12,1.51997592854395e-10,"katE"
