"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"ycaM",0.70756743171829,5.39137203537037,32.0859520249796,2.70004168360356e-06,0.000160969151729896,"SL1344_0906","ycaM"
"yihX",0.47495828242454,7.53742968795781,31.7189788115633,2.9701558332029e-06,0.00017491320144557,"SL1344_3972","yihX"
"SL1344_2269",0.836181715431918,6.51702065962084,38.5143470240483,3.18312687244259e-06,0.00018519662249428,"SL1344_2269","SL1344_2269"
"phnO",1.04860773161944,4.98198798837352,32.6015672265611,4.22172435905274e-06,0.000242698892022211,"SL1344_4224","phnO"
"phoU",-0.627399051452567,6.18851041299912,30.490866028886,4.62443058451962e-06,0.000262722062266414,"SL1344_3820","phoU"
"pagO",1.12441632512416,4.92098797253762,31.031356145983,5.07224794607591e-06,0.00028481262013489,"SL1344_1793","pagO"
"nuoC",-0.557919157059336,9.46852889451694,32.7970541100962,5.2087158537307e-06,0.000289113665030639,"SL1344_2295","nuoC"
"upp",-0.640456526315522,8.68333510587508,36.1134241080085,5.37574110152005e-06,0.000294993792945913,"SL1344_2461","upp"
"yciO",-0.603554080242257,6.24923482524725,29.4028165119045,6.09539575979137e-06,0.000330726585663287,"SL1344_1652","yciO"
"nixA",0.842986022928584,4.84311229739554,28.7038443242601,6.64888766783151e-06,0.000356749761643982,"SL1344_2767","nixA"
"SL1344_4388",0.473876649200279,6.82096690999835,28.4200995120305,7.18815629870966e-06,0.000381446228202956,"SL1344_4388","SL1344_4388"
"ybiJ",0.587036800445565,6.10423403859524,28.3446715674044,7.33920341450134e-06,0.000385228405311163,"SL1344_0799","ybiJ"
"ugpQ",-0.694599223158182,5.18895820660796,28.2798153182712,7.47177917421083e-06,0.000387970125078108,"SL1344_3519","ugpQ"
"SL1344_4471",0.716399853664192,5.13964593838922,27.6957086142593,8.78713425484458e-06,0.000451415652304728,"SL1344_4471","SL1344_4471"
"nfnB",0.396441735721962,7.58599592096597,27.5661877948106,9.11090115851905e-06,0.000458803713071112,"SL1344_0566","nfnB"
"ydgT",0.572423056570723,7.03382761617849,29.3537165037838,9.12096841060814e-06,0.000458803713071112,"SL1344_1393","ydgT"
"lrhA",0.478207409191757,7.06433744925696,27.2087430020243,1.00720024810281e-05,0.000501419587431801,"SL1344_2299","lrhA"
"nuoB",-0.565525936310936,8.10586134663802,30.5594995918342,1.09172756806813e-05,0.000537954329204184,"SL1344_2296","nuoB"
"yfcG",0.707041376787519,4.9356241239099,26.7078091718069,1.1604425359257e-05,0.000566038081412648,"SL1344_2318","yfcG"
"ybjX",0.420652019477885,10.018659964406,25.9860865936034,1.42634247892777e-05,0.000688780783074218,"SL1344_0879","ybjX"
"yecA",0.433787999122725,6.73521788434972,25.7234622793564,1.53858464677677e-05,0.000735626263295546,"SL1344_1871","yecA"
"metL",-0.398371168989751,7.45496543012045,25.5819514129409,1.60292639036359e-05,0.000758875641084882,"SL1344_4050","metL"
"yjeH",0.557127384422019,6.37974144970964,25.3001043365954,1.75751356636723e-05,0.000823983787571589,"SL1344_4265","yjeH"
"ybgF",-0.379979696569166,8.01044911413306,24.9692800976289,1.91639088138316e-05,0.000873042600584838,"SL1344_0732","ybgF"
"gst",0.509516902354966,7.23949608480193,25.7888425531744,1.9054662432596e-05,0.000873042600584838,"SL1344_1383","gst"
"rbn",0.484265174571189,6.62684610616944,25.0013723349827,1.89844899785705e-05,0.000873042600584838,"SL1344_3973","rbn"
"ompR",0.389136393476161,7.81267287251001,24.8696644710282,1.973241362716e-05,0.000890540424350987,"SL1344_3469","ompR"
"ompF",-0.54025780380046,7.93604357747456,27.9223185362337,2.02415813557843e-05,0.000905061077472985,"SL1344_0936","ompF"
"hemG",0.466296095441287,6.00914856217351,24.5489282064707,2.16880104193028e-05,0.00096083855334691,"SL1344_3940","hemG"
"yeiG",0.481020845426946,7.26185393062751,24.1568390460848,2.73423013423529e-05,0.00120032702892929,"SL1344_2171","yeiG"
"elaB",-0.641238560491969,5.09722152424061,23.4184249207976,3.04002537837082e-05,0.00132254797767141,"SL1344_2280","elaB"
"SL1344_2547",0.704299930690977,4.80937786868048,23.2493414080348,3.19953287964536e-05,0.00137951288176852,"SL1344_2547","SL1344_2547"
"hisA",-0.470927359972112,6.47752828660861,22.9703168035682,3.48254352802732e-05,0.00148824802626937,"SL1344_2053","hisA"
"SL1344_1396",0.34782739163853,8.61977562040529,22.5166108721965,4.00111613590928e-05,0.00168012085393964,"SL1344_1396","SL1344_1396"
"SL1344_2549",1.5015519490466,2.50371295787326,22.5187349161132,3.99850532536658e-05,0.00168012085393964,"SL1344_2549","SL1344_2549"
"flgA",-0.370171200394549,7.20690353152418,22.4054901881299,4.14026458366921e-05,0.00172356359263264,"SL1344_1110","flgA"
"trpH",-0.412532067788717,6.50500678998413,22.3730970678348,4.18179085383125e-05,0.00172597162676505,"SL1344_1653","trpH"
"kdpA",0.763735467522082,8.27987671014168,30.8533818856011,4.58772633727912e-05,0.00187746868497634,"SL1344_0688","kdpA"
"dcuC",0.483033694594661,5.72171420157565,21.9300898590856,4.79642079983405e-05,0.00194637949936123,"SL1344_0615","dcuC"
"ssrB",0.793126657403553,4.51639314262317,21.88614117558,4.86243893018077e-05,0.00195672646615358,"SL1344_1325","ssrB"
"yfhP",-0.457889525524931,8.07816854348625,22.8211333110132,5.2817951381901e-05,0.00210791642333223,"SL1344_2506","yfhP"
"SL1344_4434",0.99759285280889,3.89790423981266,21.4382390487076,5.5931875915549e-05,0.00221389367865726,"SL1344_4434","SL1344_4434"
"cspA",-0.383071605816882,9.72120536211069,21.1996868608841,6.02933344870016e-05,0.00236712611575391,"SL1344_3615","cspA"
"fruB",-0.933739141969755,6.14062913759806,28.9488832948758,6.45231942854055e-05,0.00251276213874374,"SL1344_2183","fruB"
"sdaB",-0.501681027178691,6.12262427020624,20.8606632722417,6.79540646856394e-05,0.00262520142693562,"SL1344_2951","sdaB"
"SraG",-0.511060513085651,5.83851867249405,20.5110768095536,7.50408471702829e-05,0.00287597024591505,"SraG","SraG"
"yqjE",0.371612714693982,6.81665419329504,20.3877019561207,7.80667905327971e-05,0.00296838213766045,"SL1344_3202","yqjE"
"folB",0.414044382619194,6.42439371344891,20.3120582290684,7.99860977141884e-05,0.00301760051454544,"SL1344_3179","folB"
"kdpD",0.435746970414269,7.51969284946895,20.4831906870205,8.20525109354382e-05,0.00307156259928086,"SL1344_0685","kdpD"
"SL1344_1025",0.502888838622891,6.95191301117402,20.9992407837187,9.08977718522218e-05,0.00335072778835404,"SL1344_1025","SL1344_1025"
"pstB",-0.436908432882385,6.19606497222694,19.9207306871995,9.07506833216671e-05,0.00335072778835404,"SL1344_3821","pstB"
"chaB",1.04232648224179,3.10835664796024,19.6567634754893,9.88766793508606e-05,0.00361723851958565,"SL1344_1698","chaB"
"STnc1160",-0.932923167672275,3.21115711419817,19.3068347119849,0.000110863436160018,0.00402525964824607,"STnc1160","STnc1160"
"ramA",0.7137200768095,4.38849687818368,19.0976449831983,0.00011876092923452,0.00426796957175173,"SL1344_0569","ramA"
"eco",0.592849601343133,5.04592221646184,19.0835092834004,0.000119315778046487,0.00426796957175173,"SL1344_2232","eco"
"moeA",-0.37742379120031,6.26514067190243,19.0547642982028,0.000120452598771421,0.00427695293725878,"SL1344_0822","moeA"
"SL1344_0213",0.445527834007596,5.96905653049813,18.8714231541041,0.000127980416110007,0.00451107612697245,"SL1344_0213","SL1344_0213"
"gipA",0.487814454063325,5.6144966292523,18.7612127753287,0.000132745460329406,0.00464512918790363,"SL1344_2563","gipA"
"ydiR",0.658408457941473,4.88056474426724,18.5694718906038,0.000141491760513485,0.00491556626992532,"SL1344_1287","ydiR"
"bcfB",0.681573363623938,4.12919000579226,18.4474957005365,0.000147373745998757,0.00508334156734283,"SL1344_0022","bcfB"
"fhuE",0.603668769655767,5.33187818339509,18.6880849451086,0.000156289324099104,0.00532965590043275,"SL1344_1141","fhuE"
"rstA",0.32145453388857,8.31262803893161,18.2639271241173,0.000156722124220636,0.00532965590043275,"SL1344_1405","rstA"
"asr",0.820574679574633,3.68882625825941,17.9868995693194,0.000172045741317593,0.00579518093211547,"SL1344_1415","asr"
"fliE",-0.382456782854818,6.47164888756345,17.973755827648,0.000172811359334154,0.00579518093211547,"SL1344_1897","fliE"
"cydA",0.335717759252594,9.74190630788075,17.9332472170293,0.000175193893616084,0.00581752688464981,"SL1344_0722","cydA"
"tolB",-0.303321128110169,9.83397213437841,17.9215708631755,0.000175887124696391,0.00581752688464981,"SL1344_0730","tolB"
"steB",0.93461651571494,3.46518248100245,17.7446479910448,0.000186756589998489,0.00613501750410002,"SL1344_1559","steB"
"dacD",0.509785108129674,6.41879656209578,18.3523676927909,0.000201912239697497,0.00658806895607577,"SL1344_2038","dacD"
"ugpC",-0.624328258718277,4.606829980536,17.3709609767844,0.000212138573577785,0.00687528303226258,"SL1344_3520","ugpC"
"tesB",-0.526933268352002,5.68450568083816,17.3974837394473,0.000224124615306665,0.00716753488288667,"SL1344_0458","tesB"
"dacC",0.40742559657622,6.2432717391281,17.2234851127874,0.00022314615401605,0.00716753488288667,"SL1344_0839","dacC"
"relA",0.300235519483582,9.13143691444719,17.1381838436992,0.00022978961741523,0.00730035567432991,"SL1344_2937","relA"
"nuoJ",-0.469411672152146,7.06958001931422,18.2163856171013,0.000243100201743065,0.00767275081187751,"SL1344_2289","nuoJ"
"tolA",-0.31211288331998,8.00013300812852,16.8765371601218,0.00025151603242626,0.00783594142313813,"SL1344_0729","tolA"
"nuoF",-0.531920791512833,8.48242624043087,20.4527176511691,0.000251149219847816,0.00783594142313813,"SL1344_2293","nuoF"
"zwf",-0.29277046529928,9.14801069788925,16.7759170468719,0.000260445411431985,0.00806212110131447,"SL1344_1820","zwf"
"rpoS",-0.295187263464389,9.54963424648787,16.7537292489676,0.00026245955031271,0.00807272081821705,"SL1344_2903","rpoS"
"yqjA",0.399234919806725,6.14569713347277,16.7276024784701,0.000264852568598548,0.00809476616305308,"SL1344_3199","yqjA"
"ybgE",0.433799635223004,5.23560223335924,16.470951821173,0.000289635684022307,0.00879654539713032,"SL1344_0725","ybgE"
"kdpB",0.815735631911624,8.00592090824827,23.7359460678696,0.000294933131059703,0.00890145056179568,"SL1344_0687","kdpB"
"marA",-0.610094248947299,5.36771678812646,16.4022112640468,0.000342685108476922,0.010278424775373,"SL1344_1449","marA"
"nuoA",-0.547683284280629,7.57795510169177,18.9524080718259,0.000372791307967437,0.0111124026307084,"SL1344_2297","nuoA"
"deoR",0.385030373464064,6.34734971629577,15.706980686297,0.000379205225216695,0.0112237103074816,"SL1344_0840","deoR"
"fruA",-0.759134594622896,5.88341809226443,19.4694427617769,0.000381173843534267,0.0112237103074816,"SL1344_2181","fruA"
"iroD",0.77882434678997,3.72708641690579,15.6326553841632,0.000389378549308054,0.0113958122097491,"SL1344_2760","iroD"
"SL1344_2944",-0.312786341395135,7.06218371577633,15.5006630513225,0.000408169660155927,0.0118738029451384,"SL1344_2944","SL1344_2944"
"metH",-0.322994061170915,7.44536017246745,15.4653118563066,0.000413365057509628,0.0119529333096646,"SL1344_4123","metH"
"SL1344_P1_0064",0.416020432002562,6.46383213826401,15.4484821954256,0.000415863179957956,0.0119535910477201,"SL1344_P1_0064","SL1344_P1_0064"
"cspC",0.356820575631059,8.14209278405143,15.5687371770806,0.000422310531014468,0.0120670861199341,"SL1344_1766","cspC"
"pdxJ",-0.375013466484598,6.3458775257758,15.3147184935005,0.00043630068018561,0.0123935057918607,"SL1344_2540","pdxJ"
"holD",-0.361561032403201,6.06002265794883,15.1875961300695,0.000456718961197229,0.012897636629365,"SL1344_4485","holD"
"lrp",-0.294135233894892,8.59524118838187,15.1002586031129,0.000471336523795289,0.0132330469384154,"SL1344_0897","lrp"
"SL1344_1606",0.402020313825656,5.45577509479446,14.9517050062143,0.000497358707211763,0.0138829202145989,"SL1344_1606","SL1344_1606"
"rplI",0.621091459562757,10.2336409123595,19.5134663077541,0.000511065410661877,0.0141835337246333,"SL1344_4327","rplI"
"nuoE",-0.451882208119936,7.35745381696249,16.2835354712419,0.000521735526490377,0.0143969191852687,"SL1344_2294","nuoE"
"SL1344_3094",0.812234842517289,3.58080083573663,14.75836725057,0.000533544901073027,0.0146391382231912,"SL1344_3094","SL1344_3094"
"ybjP",0.389614776748923,6.36839519849104,14.5420306549849,0.000577394189410598,0.0157527488173095,"SL1344_0868","ybjP"
"sbmA",0.374775546456773,6.70494842785625,14.3203477783731,0.000626342973950149,0.0169921922539622,"SL1344_0371","sbmA"
"corA",-0.263586822220759,7.91824345308847,14.2290045768619,0.0006477844701736,0.0174757050640688,"SL1344_3906","corA"
"SL1344_0338",0.521266596609488,4.73875455246851,14.1920247612483,0.000656686622711871,0.0176174427837535,"SL1344_0338","SL1344_0338"
"yjgP",-0.259486962313241,7.71629444833365,13.9607755567889,0.000715403262910909,0.0190866428541258,"SL1344_4409","yjgP"
"SL1344_1786",0.512551508948729,5.08240071641835,13.9092985481799,0.000729221858474814,0.0193484195306312,"SL1344_1786","SL1344_1786"
"napA",-0.354570976184909,6.26731763479226,13.8808106412556,0.000736991503024967,0.0194477156727189,"SL1344_2229","napA"
"SL1344_1778",0.297319248426077,7.01563410506317,13.6125003534488,0.000814661461967609,0.0213804358687043,"SL1344_1778","SL1344_1778"
"ribD",0.300262354684274,7.78970394700175,13.5130281976539,0.0008456398655458,0.022065926353069,"SL1344_0410","ribD"
"yciK",-0.312022066695207,6.73239831956144,13.4995922937581,0.000849919714572546,0.022065926353069,"SL1344_1649","yciK"
"yafB",0.605589356219165,4.72038335918351,13.576220467893,0.000863642999712083,0.0223023104043297,"SL1344_P2_0010","yafB"
"metB",-0.307176701229296,6.70682946342492,13.4409042491095,0.000868887253486054,0.0223183858887455,"SL1344_4049","metB"
"ilvC",0.359830063783126,7.09246933663278,13.2000190736765,0.000952825963100391,0.0243449554275756,"SL1344_3869","ilvC"
"nuoN",-0.349950726399964,7.62965486823079,13.4584604487379,0.000966720225949267,0.0245115352246497,"SL1344_2285","nuoN"
"gogB",0.812637785364664,5.56594011340348,16.1027920879754,0.000969497458668066,0.0245115352246497,"SL1344_2546","gogB"
"SL1344_3368",-0.277530205890353,6.99763985612586,13.1356353863309,0.000975119796795315,0.0245252786391905,"SL1344_3368","SL1344_3368"
"cydB",0.28628581144517,8.83483262471463,13.1188015080563,0.000981368177884732,0.0245545436839657,"SL1344_0723","cydB"
"hpaE",0.694362479498978,3.51370590915829,13.0717631198176,0.000999055757194141,0.0247661191931195,"SL1344_1041","hpaE"
"SL1344_1874",0.886174206960904,3.69938383179161,13.0690627916532,0.00100008143355939,0.0247661191931195,"SL1344_1874","SL1344_1874"
"ompN",0.537447213194137,4.78713933509102,12.9441889561563,0.00104876419092525,0.0257080318679088,"SL1344_1404","ompN"
"asnA",-0.281986235015423,7.44644800171439,12.9560669715209,0.00104402626889999,0.0257080318679088,"SL1344_3844","asnA"
"rumA",0.28283662015698,8.20096872672303,12.9153593709733,0.0010603596313221,0.0258609932305779,"SL1344_2938","rumA"
"feoB",0.289222217391749,7.67270974918527,12.8688779052478,0.00107934430884144,0.0261917269718358,"SL1344_3473","feoB"
"pabC",-0.333232321282113,6.02734220423519,12.7644898230888,0.00112331726479756,0.0270779343492671,"SL1344_1135","pabC"
"SL1344_1785",1.02629703465294,2.25524800038688,12.7557632490925,0.00112707906485871,0.0270779343492671,"SL1344_1785","SL1344_1785"
"ycfS",0.48054347856125,4.92375405663223,12.7027997898275,0.00115020109125614,0.0274966389587916,"SL1344_1152","ycfS"
"fhuD",0.382915255930763,5.75727839249191,12.6074344311539,0.00119312280811956,0.0283004766605918,"SL1344_0194","fhuD"
"nlpD",-0.248369024368541,9.77022969285666,12.6021578077938,0.00119554716064625,0.0283004766605918,"SL1344_2904","nlpD"
"fliH",-0.290017822585959,7.05487543503951,12.502669082203,0.0012422571719263,0.0292627311377175,"SL1344_1900","fliH"
"marB",-0.661325991611347,3.86176529212131,12.4676560193866,0.00125915690037755,0.0295168382132194,"SL1344_1448","marB"
"uraA",-0.382780297423856,6.21173672002528,12.3526356683678,0.00132129118275517,0.0308237445484285,"SL1344_2460","uraA"
"sciI",0.48130365153243,4.63473806975768,12.2686941591352,0.00135997720428388,0.031422631193717,"SL1344_0268","sciI"
"pstS",-0.537166128120624,5.44914006705315,12.9070460281146,0.00135653686359562,0.031422631193717,"SL1344_3824","pstS"
"yijC",-0.333967533335702,6.32979471361514,12.2290278265044,0.00138109090833801,0.0317585142684013,"SL1344_4076","yijC"
"fliG",-0.250420632489098,7.76029990280502,12.1743134554263,0.00141079170241171,0.0322877399570906,"SL1344_1899","fliG"
"StyR-126",-0.570956472440296,4.40562380569677,11.9402797104756,0.00154576720383405,0.0352099520156351,"StyR-126","StyR-126"
"mdh",-0.242338648456757,8.48220661988524,11.9079828307868,0.00156545319211464,0.0354909552334347,"SL1344_3331","mdh"
