"","logFC","logCPM","F","PValue","FDR","genes"
"eutC",0.512636402662308,3.24108656497157,7.59779842214421,0.011320235461932,0.0232594233249713,"eutC"
"hslJ",-0.297353158002421,5.88441606517288,7.59215371434922,0.0113466708936799,0.0232953510665236,"hslJ"
"STnc1400",-1.16108752143997,1.00627312405687,7.58806473979908,0.0113658631168553,0.0233248535834659,"STnc1400"
"stiB",0.53116017956913,3.45521212925567,7.58681043317373,0.0113717575888334,0.023327053204914,"stiB"
"yfeA",-0.354322208970434,5.1011821368921,7.57982829126279,0.0114046312250393,0.0233845702566829,"yfeA"
"SL1344_1722",1.12351786701058,0.410058311948812,7.57208719555518,0.0114412011125138,0.0234496143140801,"SL1344_1722"
"RdlE",-0.391405944274848,4.39426923142759,7.5700406577723,0.0114508908708976,0.023459533732542,"RdlE"
"cysG",-0.311549843814302,6.00943149112792,7.55934752912733,0.0115016675424723,0.0235535842095421,"cysG"
"pduJ",0.731324965743236,1.4141265742381,7.54878011006444,0.0115520920455584,0.0236468342041329,"pduJ"
"SL1344_2747",0.285349545151419,6.06435808370154,7.52632656982727,0.0116600472343686,0.0238577193200681,"SL1344_2747"
"speF",0.336124005384397,4.92618107329125,7.52408320134305,0.0116708943762482,0.023869816531887,"speF"
"SL1344_2495",-0.379322939163206,5.83197168308577,7.52001724568756,0.011694025804896,0.0239070172520212,"SL1344_2495"
"dcd",-0.270397985426768,6.81392403368153,7.51355387591536,0.0117219551677358,0.0239539911898343,"dcd"
"SL1344_4137",0.504157955598547,2.93292944674994,7.51054745389948,0.0117365797932888,0.0239737485051258,"SL1344_4137"
"rpsQ",-0.297918621541083,9.91332903066519,7.50108689244155,0.0117827321876405,0.0240477112200917,"rpsQ"
"pilN",0.367281916443479,4.33522463950503,7.50189770217775,0.0117787688783963,0.0240477112200917,"pilN"
"kdgK",-0.313158268512356,5.47354137609598,7.49101620444311,0.0118320817490592,0.0241382452215097,"kdgK"
"iap",0.290396275258745,5.94006837947249,7.48595490910413,0.0118569700026488,0.0241788212069192,"iap"
"SL1344_1544",0.523351400669311,3.57931142416414,7.48034439524964,0.0118846266726876,0.0242250059906406,"SL1344_1544"
"groEL",-0.332708257915602,13.5540946242696,7.46338438267821,0.0119686648718591,0.0243860286373978,"groEL"
"yacG",-0.303644335504519,5.46785356923014,7.45896623774232,0.0119906649270306,0.0244205668429671,"yacG"
"cutF",0.289894420677769,6.61926000892963,7.44744268925923,0.0120482570169002,0.0245275333294388,"cutF"
"csgD",0.658971278971424,2.53292269081449,7.42753491153701,0.0121484741009992,0.0247169892908177,"csgD"
"rhtB",0.409073275673944,3.81089335683207,7.42692868550421,0.0121515403211835,0.0247169892908177,"rhtB"
"STM3025",0.436444183363401,3.67651574542758,7.42315871725092,0.012170627611074,0.0247344715714383,"STM3025"
"SL1344_3617",-0.301656075503388,5.55557396197073,7.4222021688394,0.0121754758758724,0.0247344715714383,"SL1344_3617"
"yjjP",0.391987406823931,4.13591313272394,7.42236512546386,0.0121746497793537,0.0247344715714383,"yjjP"
"SL1344_1672",0.274914550223573,5.2623079871521,7.41685289149792,0.0122026281087319,0.0247792242493435,"SL1344_1672"
"glnE",-0.286999100879883,7.76084133304497,7.41448585658419,0.0122146642478602,0.0247932568052454,"glnE"
"yjbG",0.552936153253493,3.19186564504117,7.40256341689119,0.0122754887588902,0.0249062664122282,"yjbG"
"oraA",-0.394271071747147,4.35607596931439,7.3967608025215,0.0123052130634124,0.024956107164665,"oraA"
"yegH",0.283088346083211,6.15098494935556,7.3924144310169,0.0123275298376837,0.0249908892811718,"yegH"
"yeaS",-0.278463846565276,6.55300028023007,7.37501895272099,0.0124172977083928,0.0251623246818165,"yeaS"
"ycdA",1.04423422363683,0.9441898123449,7.36233695363266,0.0124831980449736,0.0252852717519,"ycdA"
"cueR",0.272197270473682,5.93227361608493,7.35434013978549,0.012524951391793,0.0253486150134321,"cueR"
"sfbA",0.277768444011049,5.47991486987168,7.35461174014188,0.0125235307658445,0.0253486150134321,"sfbA"
"SL1344_0327",0.345707957759349,4.42982186367468,7.34550017945349,0.0125712869889085,0.0254317503828317,"SL1344_0327"
"melA",0.511796445630169,3.15224564802838,7.34146942566672,0.0125924775709051,0.0254639690679214,"melA"
"SL1344_0986",0.476754356372336,3.45997940287572,7.3342101143389,0.0126307412064782,0.025530670796379,"SL1344_0986"
"SL1344_0058",0.500201287032157,4.48480792034045,7.4259938244235,0.0126675185397031,0.0255943137746633,"SL1344_0058"
"SL1344_P2_0047",0.58588447108942,3.16466880600888,7.3097764657453,0.0127604790123027,0.0257713724352853,"SL1344_P2_0047"
"aer",0.520733662623852,6.237053847378,7.96759152074064,0.0127672803718388,0.0257743468942339,"aer"
"sscB",0.66212563243466,2.89021973872794,7.30555400491497,0.012783048586594,0.0257954134390301,"sscB"
"lpfA",0.686538570149741,2.16787007088577,7.29728148993256,0.0128273944165759,0.0258741062522843,"lpfA"
"ccmE2",0.495501227378634,3.69688760831626,7.29472689014088,0.0128411230587985,0.0258910013486488,"ccmE2"
"SL1344_2771",0.7951540078919,1.45966099960136,7.28026710730296,0.0129191384776301,0.0260374470067903,"SL1344_2771"
"yccX",0.586524497106516,2.64781362454167,7.27783533183369,0.0129323102039031,0.0260531380492626,"yccX"
"yeeZ",0.281612110842802,6.64876212116502,7.26965392305165,0.0129767341326742,0.0261208751559489,"yeeZ"
"SL1344_2103",0.321327440923384,4.49731902422347,7.27008806340951,0.0129743725696848,0.0261208751559489,"SL1344_2103"
"rfaB",-0.348888715992149,6.97177366929803,7.27388572973487,0.0130387673415968,0.0262348243058667,"rfaB"
"aroL",-0.280489522790772,6.48513874386924,7.25009812411535,0.0130836056330366,0.0263140958199575,"aroL"
"priC",-0.297365603696734,5.42325316020878,7.24866303148452,0.0130914866439636,0.026319002866522,"priC"
"yhiR",-0.315270129866607,7.2214241330229,7.24711848459258,0.0130999746119053,0.026325125549558,"yhiR"
"ygbL",0.547261624418762,2.49465726185255,7.23607071149002,0.0131608649888454,0.0264365049630587,"ygbL"
"torD",0.667851630043927,2.17690864892127,7.23320456136223,0.0131767130797001,0.0264573520824033,"torD"
"pilB",0.432463420074711,4.22399309247018,7.22630427319476,0.0132149542884702,0.0265231260968176,"pilB"
"SL1344_1021",0.410144651996131,4.12902951728109,7.21946624045559,0.0132529717595086,0.026588396682183,"SL1344_1021"
"bioDb",0.341728822098207,4.76069637325214,7.21730856111007,0.0132649929548437,0.026601480481998,"bioDb"
"yhhX",0.273982971710893,5.73430283590683,7.21375712555661,0.0132848055629131,0.0266301717811069,"yhhX"
"SL1344_2551",0.706573197216002,2.38604356897425,7.21215430814072,0.0132937580281708,0.0266370785344913,"SL1344_2551"
"SL1344_3328",0.624217568820419,2.87321010724266,7.20802555647564,0.0133168497738565,0.0266722991122749,"SL1344_3328"
"trxC",-0.401553436819927,6.80208223718958,7.3619979325374,0.0133367986636339,0.0267011983178797,"trxC"
"idnT",0.568953125185646,3.28654024217202,7.19878987499586,0.0133686651251372,0.0267539235458372,"idnT"
"ycjE",-0.523073843692274,3.82469754316507,7.19626560397808,0.0133828659799181,0.0267712666438642,"ycjE"
"dapE",-0.259413470590639,7.75229687974049,7.18314807177305,0.0134569311180987,0.0269082992220932,"dapE"
"SL1344_3514",0.604295639612229,2.3219102571983,7.17808932965526,0.0134856153518147,0.0269545129986479,"SL1344_3514"
"SL1344_2412",-0.28521320271405,6.2129772305419,7.1735976790559,0.0135111408128173,0.0269943775760418,"SL1344_2412"
"SL1344_0334",0.588488709589357,3.37412472361539,7.16467711159608,0.0135619940599616,0.027084791605299,"SL1344_0334"
"yhhY",0.366961394950947,4.08783656596856,7.14763031736832,0.0136597630129556,0.0272687881525655,"yhhY"
"fbaB",0.362782993217154,5.32605661962736,7.14640206934045,0.0136668375133233,0.0272716555494822,"fbaB"
"SL1344_4000",0.599872048083251,2.01841008680883,7.12033328688156,0.0138179506865768,0.0275618257612256,"SL1344_4000"
"SL1344_1458",0.382298439441647,4.53071198206738,7.10793400104359,0.0138904745947828,0.027695064144668,"SL1344_1458"
"yhiH",-0.277839786886636,5.46569101424011,7.09450660843078,0.0139694879179268,0.0278359717548279,"yhiH"
"dcuA",-0.292534542446698,5.96124176795071,7.09396990338688,0.0139726564855742,0.0278359717548279,"dcuA"
"SL1344_4420",-0.280504843573373,7.74821685939731,7.0894481866834,0.0139993831682104,0.0278777342052835,"SL1344_4420"
"SL1344_0546",0.535342894096484,3.10126103382302,7.08564270899674,0.0140219202491727,0.0279111227346702,"SL1344_0546"
"icdA",0.290627825474605,9.29433264117553,7.0836192175084,0.0140339202888383,0.0279207099727932,"icdA"
"SL1344_2702",0.586111031049713,2.48151881672459,7.08288432224428,0.0140382813011852,0.0279207099727932,"SL1344_2702"
"invI",-1.03424700699135,5.2209481712352,8.49658898938221,0.0140852301447355,0.0279680862931386,"invI"
"gatB",0.82427889528457,1.38999622722239,7.07767096500222,0.014069261528003,0.0279680862931386,"gatB"
"yhjD",0.360959035232731,5.4874191433043,7.07558127113379,0.0140817007364681,0.0279680862931386,"yhjD"
"yjeM",0.373105429295919,5.13193296113069,7.07558143431199,0.0140816997646503,0.0279680862931386,"yjeM"
"nadD",-0.363311410963143,5.07439624101405,7.07328290520045,0.0140953961704496,0.0279767875570228,"nadD"
"tlpA",-0.385773702698579,8.15582253980435,7.22263380471424,0.0141478922359394,0.0280694646206887,"tlpA"
"yqgA",0.419810853893061,3.81871914599949,7.05454536982989,0.0142076011061428,0.0281763700493698,"yqgA"
"yrbN",0.367528085562027,6.35439875034456,7.14651803718119,0.0142206495804146,0.0281906893526498,"yrbN"
"yhcH",0.392954592129883,3.9803430316201,7.04328451282434,0.0142755098324793,0.0282878496762403,"yhcH"
"mreC",-0.319525700001601,7.87894589321223,7.03792003715094,0.014307986796963,0.0283405946506594,"mreC"
"yaeD",-0.255097785770462,6.30947274586752,7.02960344898955,0.014358498081858,0.0284290033655126,"yaeD"
"SL1344_2557",0.578256528154345,2.71708026107855,7.02386572843812,0.0143934616621084,0.0284752573749163,"SL1344_2557"
"SL1344_P2_0051",0.374905238329966,4.37441226240697,7.02383759948339,0.0143936333019786,0.0284752573749163,"SL1344_P2_0051"
"yciM",-0.245090528513411,6.89487712801695,7.02279977980549,0.0143999675526327,0.0284761418855618,"yciM"
"SL1344_0354",0.657172142937424,2.859931487542,7.01683180262357,0.0144364526496582,0.0285366250373506,"SL1344_0354"
"cysB",-0.239278558459134,6.39302065960452,7.00976145220757,0.0144798097358805,0.0286106371292704,"cysB"
"ydfZ",0.431352959516526,3.41439551996819,7.00405984753595,0.014514878474369,0.0286682185302257,"ydfZ"
"ybeQ",0.341940056727573,4.63298051735193,6.99726000198534,0.0145568252814068,0.0287393321984345,"ybeQ"
"yfeN",0.470582885231112,3.1119824974363,6.9781433339585,0.0146754735959826,0.028949945262548,"yfeN"
"SL1344_2723",0.511911150781437,3.02038874628152,6.97881567931134,0.014671282517255,0.028949945262548,"SL1344_2723"
"SL1344_0702",0.552254393559571,3.10524489414793,6.95867821298914,0.0147973871401967,0.0291785412136697,"SL1344_0702"
"rhaS",0.449815424444592,3.36611138758135,6.95634348576987,0.0148120852100494,0.0291956219075015,"rhaS"
"rtsA",-0.926403465851758,5.54013829065314,8.27589984054282,0.0148242441656837,0.0292076859590273,"rtsA"
"wzzE",0.237761599357631,8.2103891451396,6.94951150944221,0.0148551883762977,0.0292567370424071,"wzzE"
"araC",0.253670214918672,5.57096385032372,6.93046308637149,0.0149761016662628,0.0294828668130701,"araC"
"yegE",0.272468236257454,5.63020241424453,6.92708884450014,0.0149976338302668,0.0295132444414161,"yegE"
"SL1344_0355",0.388466325087405,5.1021823844634,6.91696829362219,0.0150624225942826,0.029604607106276,"SL1344_0355"
"yigQ",-0.31188776874515,6.95695138088896,6.91773702904519,0.0150574905027042,0.029604607106276,"yigQ"
"gtrBb",-0.270321058886522,5.71880256073417,6.91713695289097,0.0150613403482503,0.029604607106276,"gtrBb"
"flhAb",0.505425235697201,3.09463746236706,6.90912835630059,0.0151128248802745,0.0296916059893939,"flhAb"
"aas",0.280092657494418,7.4665319509923,6.90510469958439,0.015138765223756,0.029730494270121,"aas"
"spaS",-0.545724462524296,4.58384210468067,7.12992782933591,0.0151565902748827,0.0297534201134771,"spaS"
"oppF",0.297970393981828,6.15336344726702,6.8907789171892,0.0152315245559489,0.0298762709964009,"oppF"
"pgsA",-0.275161247578776,5.68975807743063,6.89107844415334,0.015229578682058,0.0298762709964009,"pgsA"
"gcl",0.330890096392773,4.88336841684353,6.88379082598982,0.0152770009636798,0.0299533253592701,"gcl"
"rob",-0.235450079651157,7.75271186221967,6.87743174167633,0.0153185148650215,0.030010391414382,"rob"
"repA2",-0.257664119866192,8.25740259777417,6.8779269116371,0.015315277767841,0.030010391414382,"repA2"
"misL",0.278852599970693,5.56975701868804,6.87240712071765,0.0153514054987634,0.0300626511730845,"misL"
"SL1344_3098",0.484532408128108,3.2369622227588,6.8679430034378,0.0153806928460883,0.0301078151746375,"SL1344_3098"
"serC",0.270187261429394,8.51197018952128,6.85484358590046,0.0154669913815693,0.0302644972947616,"serC"
"ratA",0.251550038329657,6.1861835522118,6.85379424681676,0.0154739275916054,0.0302658260253116,"ratA"
"yciL",-0.274963527951274,8.0827381687523,6.85265697382186,0.0154814489474064,0.0302682977197271,"yciL"
"steC",0.409442812168359,4.17111866557765,6.85066845708885,0.0154946097495054,0.0302770181510178,"steC"
"SL1344_3329",-0.295680469670498,5.5548068484721,6.85009187132204,0.0154984281459417,0.0302770181510178,"SL1344_3329"
"prgH",-0.898978337759663,7.04544325690552,8.19541523865307,0.0155127170012296,0.0302926976725667,"prgH"
"cysE",-0.311116375734719,7.27766296183214,6.83998423905873,0.0155655349908045,0.0303835725385477,"cysE"
"sciU",0.473218001002743,3.38473637582688,6.83210248671896,0.0156180873832087,0.0304728201969623,"sciU"
"STnc740",0.904063243980416,1.01228474651195,6.83123902693676,0.0156238565409275,0.0304728201969623,"STnc740"
"arcB",0.272798317107719,8.2060998522989,6.81808773599031,0.0157120189764018,0.0306200788835034,"arcB"
"SL1344_3655",0.733439905759298,2.14357214782239,6.81894094577106,0.015706282596635,0.0306200788835034,"SL1344_3655"
"fruB",-1.4902082480915,6.16440656339397,8.32214430631539,0.0157668475962332,0.0307145557080064,"fruB"
"ybgE",-0.434108162222916,5.25663881077149,6.89095794438529,0.0158402413784817,0.0308451077084204,"ybgE"
"idnR",0.350933587349636,4.28786582481253,6.78182870257715,0.0159579606386617,0.0310618332431414,"idnR"
"pstB",-0.318954651893989,6.43387359434949,6.77809155772528,0.0159835511716375,0.0310991299345175,"pstB"
"yjcE",0.28348779656361,6.39429159211209,6.7682379449704,0.0160512434941821,0.0312182809736063,"yjcE"
"SL1344_0291",-0.722742825762113,2.18654804533337,6.76128300145179,0.0160992140322921,0.0312989944831982,"SL1344_0291"
"orn",-0.350993486168125,6.9965207466724,6.8005150534142,0.0161393280436188,0.0313643751494513,"orn"
"comC",0.896936853265963,1.2475541933866,6.74940569559967,0.0161815039602998,0.0314337086971767,"comC"
"ubiH",-0.328067648860208,6.69247480072943,6.74142582164956,0.0162370532829986,0.0315163028611012,"ubiH"
"tpiA",-0.270137978028304,9.56622854492855,6.74187101908224,0.016233948617016,0.0315163028611012,"tpiA"
"yneG",-0.463364688089814,3.18756583823546,6.73749754221665,0.0162644764347852,0.0315568682370862,"yneG"
"SL1344_0601",0.387379692795543,4.5569812771091,6.73551164162761,0.0162783594786927,0.0315711406569512,"SL1344_0601"
"spaP",-0.875952922373531,4.95479246998787,7.82188781324242,0.0162952947774441,0.0315913189733456,"spaP"
"tolC",0.256711104026879,9.55711786621424,6.73095313565156,0.0163102768709042,0.031607696003431,"tolC"
"citF",0.567802448377772,3.65864416466655,6.77941012259496,0.0163820552688445,0.0317340814318786,"citF"
"SL1344_1485",-0.372983915017152,4.15630771086879,6.71895789235669,0.0163945965548297,0.0317456619438396,"SL1344_1485"
"mukE",-0.276630011500865,7.61503820671868,6.71689844176773,0.0164091219137616,0.0317610735081492,"mukE"
"igaA",0.292286772989284,7.86912718530089,6.70549448315073,0.0164898132976176,0.0319044907682306,"igaA"
"invE",-0.841197750522595,5.77943682036017,7.89015455695031,0.0165139256758899,0.0319383680504917,"invE"
