nr,beta_WT,beta05_WT,beta95_WT,hl_WT,hl05_WT,hl95_WT,gamma,gamma05,gamma95,pib_WT,pib05_WT,pib95_WT,delta_1,delta05_1,delta95_1,p_value_1,beta_1,beta05_1,beta95_1,hl_1,hl05_1,hl95_1,delta_hl_1,delta_hl05_1,delta_hl95_1,p_hl_1,ratio_hl_1,pib_1,pib05_1,pib95_1,p_pib_1,delta_2,delta05_2,delta95_2,p_value_2,beta_2,beta05_2,beta95_2,hl_2,hl05_2,hl95_2,delta_hl_2,delta_hl05_2,delta_hl95_2,p_hl_2,ratio_hl_2,pib_2,pib05_2,pib95_2,p_pib_2,delta_3,delta05_3,delta95_3,p_value_3,beta_3,beta05_3,beta95_3,hl_3,hl05_3,hl95_3,delta_hl_3,delta_hl05_3,delta_hl95_3,p_hl_3,ratio_hl_3,pib_3,pib05_3,pib95_3,p_pib_3,sigma_g1,sigma_g2,sigma_g3,sigma_g4,sigma_g5,sigma_g6,sigma_g7,sigma_g8,sigma_g9,gene,com_id,ltag
2060,0.420362,0.3356262,0.50597085,1.64892921000384,1.36993532474176,2.06523562811256,4.603285,3.61473,5.1638795,0.0386826,0.032346865,0.047877405,-0.103552,-0.189391,-0.031479205,0.0265,0.3145713,0.251691065,0.38273545,2.20346606272845,1.81103470323437,2.75396025566695,0.548886960216709,0.159203740065602,1.00715537199058,0.0165,1.19774120605884,0.04118935,0.03212926,0.05158616,0.3675,-0.07056995,-0.15244245,0.02452857,0.174,0.347515,0.27401814,0.4437740605,1.99458205378059,1.56193712612128,2.52956676808322,0.348633400525313,-0.104223009900115,0.761743382093449,0.141,0.843923933287514,0.06313495,0.051245575,0.07962711,0.006,0.1294895,0.002354183,0.26983025,0.078,0.549916,0.400107325,0.7186272,1.26046014850409,0.964543487499932,1.73240312643349,-0.38328777464609,-0.715500401577263,-0.007168565862736,0.0635,-1.15374234322978,0.05128115,0.03231978,0.079991,0.1855,0.45465,0.3350585,0.3744495,0.5561255,0.4452785,0.2905775,0.3380345,0.439815,0.248371,SL1344_2307,pta,SL1344_2307
2061,1.278725,1.115082,1.491674,0.54206117897064,0.464677390448468,0.62161095674362,3.034155,2.9115845,3.236663,0.02215805,0.018876585,0.02594794,0.04014925,-0.18585015,0.29808905,0.442,1.3168121,1.09897541,1.62125505,0.526382755776349,0.427537563379756,0.630721283172398,-0.016828483820363,-0.108775721120327,0.083205211439177,0.7135,-0.183023267631874,0.03428215,0.0267906,0.041620205,0.009,0.000679848,-0.23363075,0.2717562,0.552,1.26978825,1.03718685,1.59572835,0.54587620315217,0.434376686773933,0.668295381957687,-0.000291014601794,-0.102637496662349,0.112635529301807,0.791,-0.002843425547561,0.04877185,0.039762845,0.0591246,0,-0.10421,-0.39429625,0.22776555,0.3525,1.17153715,0.84660355,1.58906845,0.591656170006148,0.436197183535382,0.818738807166879,0.047850819329501,-0.086050385577614,0.247762928590796,0.509,0.239359283968922,0.01611105,0.010441535,0.02477277,0.117,0.504206,0.409542,0.520972,0.674471,0.4363265,0.435524,0.339614,0.4665215,0.4473695,SL1344_2308,yfcC,SL1344_2308
2062,0.162873,0.1205275,0.22786265,4.25575254537314,3.04195239712676,5.75094645562683,4.524415,2.6356425,5.694375,0.0594323,0.01174893,0.10921725,0.03044685,-0.04187282,0.1170296,0.4235,0.1952514,0.1243124185,0.289641705,3.55002434105757,2.39311952584969,5.57584904340952,-0.641379407670571,-2.10991648997221,1.12313057879885,0.2745,-0.436747165189277,0.07753445,0.01748241,0.11677275,0.3335,-0.0508639,-0.11221155,0.019600695,0.1935,0.10808285,0.07769352,0.18433187,6.41310978455623,3.76032276573243,8.92155718480712,2.08268477957753,-0.522763958483902,4.58097844670193,0.113,0.833642900746232,0.0921621,0.01042701,0.20814985,0.309,0.283795,0.1008446,0.49011465,0.001,0.4475355,0.2568584,0.68128625,1.54880946832746,1.01740967162022,2.69855759758024,-2.63769368518316,-3.88926667953739,-1.41373895041071,0,-2.10750287604609,0.0900123,0.0529871,0.1162122,0.187,0.4705085,0.433865,0.596737,0.590786,0.4935615,0.399674,0.4406375,0.2073255,0.330299,SL1344_2309,,SL1344_2309
2063,0.110504,0.089837355,0.15741775,6.27259812623397,4.4032352602933,7.71557912075444,1.348495,0.27900065,3.5285965,0.05672515,0.0068411625,0.1223541,0.02284245,-0.019236705,0.079164095,0.4625,0.13373355,0.1011187425,0.202468635,5.18304632889991,3.42348523563218,6.85478446441507,-1.07559270862372,-2.89663830597042,0.897553741695006,0.1915,-0.590645676412974,0.06132225,0.010244495,0.1094487,0.477,-0.0358203,-0.07786167,0.0027427855,0.2175,0.07441825,0.057038765,0.1193906642,9.31421021178961,5.80570888554462,12.1522134385295,3.09876751584977,-0.163139135726295,5.99700152663681,0.065,1.06919161955741,0.08708965,0.0082849885,0.21602355,0.3295,0.208825,0.08627107,0.3893923,0.001,0.322722,0.200609,0.52308495,2.14781508883505,1.32511402542283,3.45521492116186,-4.002364137181,-5.59661348634195,-2.22157758808471,0,-2.51050071890412,0.0997517,0.053141295,0.12895895,0.189,0.5263175,0.4607415,0.568526,0.4956875,0.50222,0.4532715,0.390363,0.1719955,0.279128,SL1344_2310,,SL1344_2310
2064,0.140157,0.11175985,0.1815858,4.94550526284462,3.81718834300958,6.20211267243696,0.900334,0.1009978,2.200251,0.06467165,0.02179928,0.10551305,0.0251572,-0.023990255,0.079862795,0.437,0.1652061,0.1224207,0.22821633,4.19565130560054,3.03723761920011,5.6620096163397,-0.749251870265498,-2.11979955264907,0.840488256425221,0.227,-0.546680629865021,0.07797955,0.035796905,0.11144035,0.3535,-0.05143915,-0.09319282,-0.008201494,0.106,0.0866123,0.067623605,0.1286393905,8.00287238910932,5.38829662201797,10.2500775541011,3.04192571718705,0.344433033494812,5.41570713801014,0.032,1.28146833171029,0.0733851,0.0063907135,0.1783472,0.4335,0.142876,0.057837215,0.2495624,0.0045,0.2835885,0.19794564,0.39772265,2.44420060097898,1.74279042714168,3.50170474706345,-2.4667722833108,-3.71555644579243,-1.19146976577991,0.0015,-1.97533917983772,0.06944215,0.031777695,0.09735802,0.4485,0.4490855,0.4740945,0.5483585,0.472514,0.4859195,0.366836,0.388109,0.191093,0.284841,SL1344_2311,,SL1344_2311
2065,0.1608985,0.13364355,0.1960303,4.30797790850651,3.53591858574447,5.18653673978699,3.36073,1.155236,5.113244,0.006849765,0.00065902505,0.02394021,0.042052,0.0008763872,0.10953855,0.2355,0.2027428,0.15228939,0.28268965,3.41884989454168,2.45197230561488,4.55151329885202,-0.892274654409897,-1.7590063573496,-0.023508080359773,0.0575,-1.02947042479646,0.0246394,0.004392055,0.040434195,0.1215,-0.0414055,-0.07114494,-0.0044001875,0.142,0.1186009,0.09407804,0.162126773,5.84436697457183,4.27534063693331,7.36778934836048,1.56350177219122,0.120424206122558,2.67605058566647,0.0455,1.40533318920842,0.02931305,0.002516876,0.086703335,0.1655,0.181084,0.042816415,0.3779826,0.0175,0.3419605,0.19786564,0.55431995,2.02698030376662,1.25044603019051,3.5031205512559,-2.25360273160991,-3.144168311729,-0.945445003431444,0.0025,-2.53052979131368,0.104228,0.04368656,0.16491865,0.0065,0.4369865,0.544448,0.63344,0.5690885,0.542684,0.419856,0.479731,0.3916405,0.272845,SL1344_2312,,SL1344_2312
2066,0.1735035,0.1536067,0.1994287,3.99500402335228,3.4756641740712,4.51248019054851,0.189177,0.01741148,0.69241585,0.0133123,0.001937979,0.026769035,0.03853045,0.0014792755,0.078613485,0.223,0.2121869,0.1822387795,0.249975035,3.26668243881914,2.77286562375704,3.80351088706909,-0.728130697787789,-1.40597561306714,-0.022263861259925,0.061,-1.07418478972836,0.01900285,0.0099329075,0.02820576,0.277,-0.04494945,-0.07780719,-0.01074644,0.108,0.12761395,0.110831005,0.157109395,5.43159413431039,4.41187607731392,6.25409093458202,1.40986174676209,0.298379504978626,2.44103940263454,0.023,1.36723457760462,0.02271085,0.002163223,0.056753505,0.313,0.1832695,0.08906962,0.30810235,0.002,0.357446,0.26664106,0.4858157,1.93916639001177,1.42676983034389,2.59955271093696,-2.03557163471388,-2.75697588880187,-1.22945708412481,0,-2.82167955508838,0.0521636,0.026452785,0.084611895,0.012,0.353873,0.488145,0.475952,0.610552,0.5099855,0.4511725,0.467655,0.4847115,0.319199,SL1344_2313,,SL1344_2313
2067,1.08149,0.9721654,1.2138455,0.640918714733373,0.571034129194641,0.712993064431454,0.1054985,0.008569815,0.372171,0.01095215,0.0094484075,0.01268842,-0.0784462,-0.2209074,0.079310565,0.2545,1.00206235,0.8848721,1.158923471,0.691720612646401,0.598095730999508,0.78333035997029,0.049952435624226,-0.046369683595561,0.14637514722361,0.5005,0.518056739907589,0.009179175,0.0077023675,0.010967575,0.1055,-0.2124815,-0.38483595,-0.013868865,0.058,0.865391,0.7067797,1.083749892,0.800964168870068,0.639582255184309,0.980711818382931,0.15930886499273,0.00949535516446,0.327343606116923,0.132,0.948070999645166,0.02948095,0.024671965,0.03573739,0,-0.3551985,-0.5027791,-0.18753255,0.0015,0.724676,0.61326175,0.8852336,0.956492529864138,0.783010478418969,1.13026319388107,0.316403600594928,0.14503115720914,0.487748914014791,0.004,1.84658450400459,0.0115365,0.0083351525,0.01574015,0.409,0.394323,0.412278,0.5357925,0.706774,0.4253135,0.351671,0.4180155,0.3978605,0.3207045,SL1344_2314,,SL1344_2314
2068,0.5930525,0.5310966,0.6646803,1.16877878668106,1.04282793557792,1.30512449303744,2.474495,2.2640075,2.644919,0.0311234,0.028519275,0.033783745,-0.0981401,-0.18420475,0.019391915,0.109,0.4878125,0.44134475,0.61833816,1.42092952523147,1.12098399548229,1.57053455581439,0.238478306271922,-0.03763991664069,0.42792497247258,0.1195,1.25881500611539,0.02248465,0.020063645,0.02785369,0.0125,-0.1666715,-0.25358675,-0.055474575,0.0225,0.4210883,0.368554,0.53625357,1.64608515365966,1.29257386868547,1.88072081960258,0.467556563215673,0.126131443843267,0.727611078446833,0.025,1.79791749741421,0.05316795,0.047238785,0.06360599,0,-0.0383043,-0.1558014,0.084536795,0.3975,0.555744,0.452298,0.670349635,1.24724187705812,1.0340085045096,1.5325010979269,0.081789217925551,-0.156289142898211,0.369066339513737,0.421,0.284704947868408,0.03266865,0.025231065,0.043535565,0.3875,0.1941325,0.3021945,0.198788,0.537917,0.4332685,0.3483965,0.153761,0.2467695,0.151883,SL1344_2315,,SL1344_2315
2069,0.5348225,0.4632201,0.6311948,1.29603219935322,1.09815104666419,1.49636680712664,1.79326,1.516695,2.081251,0.03000725,0.02685005,0.034301535,-0.06288265,-0.1334325,0.018803095,0.1775,0.4624922,0.4048767,0.59632279,1.49872188377094,1.16236915612034,1.71199576261057,0.177646047242351,-0.045022630449075,0.378191899073628,0.174,0.885812623996873,0.01872585,0.0165451,0.024256725,0.001,-0.04712855,-0.12464735,0.03810974,0.285,0.4848004,0.4030154,0.609699081,1.4297578574548,1.13686768320909,1.71990247091312,0.125113257759983,-0.086909080048172,0.363950434275714,0.285,0.523843312775647,0.0468909,0.04184493,0.055567775,0,0.090653,-0.03492082,0.2559111,0.1905,0.6262185,0.50810297,0.7949237,1.10687752144801,0.871966947595231,1.36418647058555,-0.189364067614794,-0.45313797370174,0.079978158910659,0.201,-0.71790295872699,0.029755,0.02118847,0.040485095,0.4705,0.20034,0.31311,0.143454,0.5345875,0.38714,0.332842,0.217013,0.3456735,0.160151,SL1344_2316,yfcE,SL1344_2316
2070,0.7309325,0.6618523,0.8061972,0.948305349712759,0.85977374012482,1.04728378648239,0.912703,0.6670225,1.1413765,0.0114453,0.0098493085,0.01334555,0.03316655,-0.021507265,0.08558581,0.3495,0.76373535,0.69158755,0.840345155,0.907575095018067,0.824836291714911,1.00225514563453,-0.04139379268234,-0.108407473513036,0.025661178231197,0.583,-0.617691673837738,0.007538325,0.0064132665,0.008816774,5.00E-04,-0.121446,-0.1807868,-0.06098778,0.0035,0.60974845,0.54383045,0.683224465,1.13677563622817,1.0145234220509,1.27456487355465,0.190459540846682,0.089282642807021,0.29109292716427,0.01,1.89260788905196,0.024876,0.02076965,0.02926062,0,0.02386865,-0.1028417,0.18872465,0.4815,0.75517785,0.631488995,0.930144115,0.917859522255126,0.745204077221568,1.09763936958433,-0.029792994584863,-0.198811923619584,0.146734718845473,0.569,-0.176270165448404,0.01251515,0.008864597,0.01752246,0.359,0.279312,0.3481275,0.1605405,0.62541,0.294561,0.3752005,0.270395,0.4186685,0.361513,SL1344_2317,yfcF,SL1344_2317
2071,0.3796555,0.3257144,0.45188855,1.82572675435534,1.5338896962819,2.12808271045854,1.44389,0.9057575,1.9286285,0.02864595,0.02091822,0.039450005,0.0832291,0.012871565,0.16855385,0.071,0.4636642,0.38989134,0.5650127,1.49493359763134,1.22678160945812,1.77779590149116,-0.326094619011288,-0.610113449372579,-0.055251732227361,0.0485,-1.14814436281029,0.01320255,0.008916687,0.01877681,0.0015,-0.02504295,-0.11522125,0.08492168,0.473,0.35359565,0.2719771,0.476906145,1.96028215271404,1.45342473411871,2.54854981923199,0.127144152180162,-0.341972198068184,0.701070695326045,0.4105,0.221533842089343,0.0608411,0.04068636,0.088075445,0.006,0.0724178,-0.014566065,0.16559535,0.141,0.452637,0.376265475,0.55376905,1.53135333795952,1.25169000207256,1.84217594235122,-0.291993561930514,-0.628185805574125,0.057745782467338,0.1095,-0.868531524600099,0.0239787,0.0148414,0.037452715,0.2875,0.3857565,0.4243335,0.400913,0.4682575,0.481686,0.2892195,0.540902,0.386641,0.5663065,SL1344_2318,yfcG,SL1344_2318
2072,0.5374625,0.46813085,0.64068875,1.28966612672053,1.08187834377167,1.4806697329164,0.5157935,0.13486185,0.98745615,0.02296025,0.02041292,0.02596215,-0.03291135,-0.1058871,0.04001915,0.3795,0.5039687,0.41699132,0.6256600669,1.37537744151011,1.10786547246833,1.66225805523407,0.081855793712658,-0.090054533605866,0.30548308825578,0.384,0.366036685637558,0.01607875,0.013650955,0.02053825,0.013,-0.142814,-0.21826145,-0.0602816,0.008,0.398297,0.3184928,0.51222995635,1.74027718633784,1.35319607743606,2.17633547937391,0.454149718192112,0.158854243215655,0.817708888775947,0.008,1.24917690141827,0.0399163,0.033429485,0.053179655,0,0.0300577,-0.06428398,0.1310256,0.417,0.5683665,0.486563065,0.69091075,1.21954263875047,1.00323693359334,1.42457829456514,-0.069856228496162,-0.268236860259629,0.144883216939718,0.4365,-0.352132301803803,0.0202961,0.01574927,0.026600355,0.2335,0.4225445,0.236007,0.2900275,0.5013525,0.4284185,0.295341,0.257334,0.269825,0.2265965,SL1344_2319,yfcH,SL1344_2319
2073,0.910313,0.795242,1.03891,0.761438297171938,0.66718693684722,0.871617923324938,2.638885,2.480718,2.770237,0.03386805,0.029052535,0.038916105,-0.0775263,-0.2214161,0.067780305,0.241,0.8315022,0.720016815,0.95437465,0.833608365857616,0.726284151882395,0.962681934811223,0.071578053403128,-0.061231536833108,0.206368655910372,0.387,0.531031481955732,0.0174576,0.014791205,0.02126192,0,0.0351104,-0.13496685,0.2433213,0.4495,0.94202034285,0.77885356,1.1534842,0.735809142439254,0.600916245355484,0.889958295902537,-0.028765158517643,-0.170640932013856,0.12544167092051,0.596,-0.202748910605306,0.04622795,0.03921752,0.054890035,0.0075,-0.1098105,-0.28640105,0.1308149,0.2515,0.7960275,0.63405375,1.050989395,0.870757833257923,0.659518757238392,1.09319940243415,0.105183486032081,-0.098432507010736,0.314185645225471,0.329,0.503265068830002,0.028414,0.02041428,0.03931844,0.21,0.3023525,0.4402535,0.2629895,0.5962855,0.422937,0.401236,0.421204,0.3770215,0.2885485,SL1344_2320,hisP,SL1344_2320
2074,0.908465,0.79293165,1.039777,0.762987216038481,0.666630615176873,0.874157558362244,2.476835,2.290193,2.64214,0.03888195,0.034407885,0.04376116,0.0223406,-0.10955015,0.1520544,0.489,0.9279544,0.82193317,1.04716616,0.746962545345896,0.661926649825186,0.843313308688855,-0.017939057375257,-0.126176239450134,0.090438963308122,0.6995,-0.16573839997836,0.02161245,0.018564855,0.02515525,0,0.00205533,-0.1505348,0.1986097,0.5695,0.90824695,0.771024165,1.117328035,0.76317041051726,0.620361400550753,0.898995403867226,-0.001782466650211,-0.146927139004243,0.134410500988061,0.7185,-0.012280620578782,0.0578535,0.049926585,0.066637035,0.001,-0.0699497,-0.24980415,0.1401027,0.353,0.83378045,0.6814098,1.071438375,0.831330617304395,0.646931487446902,1.01722514199397,0.063145478265025,-0.109487061992132,0.260758811427299,0.452,0.319540575803009,0.02347405,0.01711772,0.03157244,0.007,0.3266375,0.392593,0.30278,0.49846,0.311353,0.3646545,0.26421,0.360867,0.3103735,SL1344_2321,hisM,SL1344_2321
2075,0.853877,0.76445215,0.95846685,0.811764674638312,0.723183262216296,0.906724091666552,2.742975,2.57356,2.921181,0.046115,0.04102318,0.05222004,-0.0378355,-0.13940875,0.059810015,0.37,0.814899245,0.73550129,0.904716041,0.85059249327741,0.766148880381016,0.942414636546816,0.037339773146875,-0.060895413264269,0.136293417069691,0.5825,0.377346115480091,0.0259623,0.02208541,0.030222415,0,-0.12329,-0.2319067,-0.0089874275,0.0655,0.7302235,0.6426727,0.83812192,0.949226066645708,0.827024284506157,1.07853839219064,0.137363218130935,0.010231873236799,0.260796860442306,0.1255,1.11285072334191,0.05459835,0.047355,0.062918305,0.083,0.02466715,-0.13564815,0.24102,0.485,0.87244435,0.71738708,1.11584115,0.794488704894254,0.621188045437362,0.966210850691698,-0.022893523145811,-0.18366254343241,0.147670753458506,0.613,-0.142400091168055,0.03363305,0.026034975,0.04306155,0.0255,0.390058,0.4416,0.300483,0.5135825,0.217301,0.29675,0.2939585,0.302143,0.283319,SL1344_2322,hisQ,SL1344_2322
2076,0.2626035,0.22368285,0.3105268,2.63951997593338,2.23216542067508,3.09879447872677,2.089445,1.333421,2.818524,0.0338213,0.02713644,0.041211675,0.0153902,-0.025818145,0.055297795,0.5905,0.277625935,0.24091426635,0.32089654,2.49669462864636,2.16003320123817,2.87715306710373,-0.145345695176518,-0.553043022165124,0.233424005892022,0.3355,-0.356503919832125,0.01837865,0.014334135,0.022387265,5.00E-04,-0.005577865,-0.05221616,0.040700385,0.6885,0.25597336,0.21416548,0.30896784,2.70788796365456,2.24342825173653,3.23650282445218,0.059514599624967,-0.399465735655087,0.546362890504795,0.4885,0.122244651444525,0.04232825,0.03351828,0.05165807,0.0995,0.04921975,-0.02477863,0.14605875,0.273,0.30889595,0.235180099,0.4194149,2.24395037039214,1.6526527578216,2.94730372028822,-0.408339353313524,-1.00469192319843,0.24595951899392,0.18,-0.684728085253885,0.04849445,0.01432448,0.098613975,0.2495,0.388821,0.406402,0.4016025,0.531119,0.396012,0.264669,0.3085,0.47218,0.203683,SL1344_2323,hisJ,SL1344_2323
2077,0.253374,0.2193778,0.2949831,2.73566814499807,2.34978611685331,3.15960494582699,0.3815945,0.048482815,0.9588063,0.0560556,0.045526715,0.06914528,0.05617545,0.013658585,0.09927719,0.0775,0.30884175,0.27997339,0.344965915,2.24434416841384,2.00932085176914,2.47576095679647,-0.49728197115177,-0.922920519769916,-0.120088307155158,0.031,-1.16831986380514,0.0177493,0.01454757,0.022077395,0,-0.01683475,-0.06765281,0.037917045,0.541,0.2359489,0.19716543,0.2894686105,2.93770041123341,2.3945504879003,3.51556145466959,0.197600493993185,-0.399075929209617,0.824328262818537,0.3445,0.315289195440532,0.0764399,0.060575225,0.09364601,0.0465,0.1098755,0.02525818,0.20189025,0.0385,0.362934,0.284522725,0.45546935,1.909843610182,1.52183059131834,2.43617511580099,-0.832035514073821,-1.36013346450577,-0.229953227686568,0.019,-1.57553255677905,0.03151205,0.016956545,0.050305475,0.038,0.5975055,0.428895,0.4775695,0.5026175,0.4131705,0.3956505,0.292534,0.3981115,0.24132,SL1344_2324,argT,SL1344_2324
2078,0.687683,0.60152265,0.77553005,1.00794578399224,0.893772177684276,1.15232099832717,1.440305,1.138028,1.702777,0.03678555,0.0329782,0.041282625,-0.09201525,-0.1743401,-0.014773845,0.063,0.59358825,0.51965474,0.6703672495,1.16772389250314,1.03398127083141,1.33386099925187,0.156774549904966,0.026433227515974,0.301610974874109,0.091,1.08242487991793,0.0418542,0.0368452,0.047989305,0.109,-0.0869998,-0.1796062,0.01444156,0.1345,0.596845,0.51043925,0.714504982,1.16135208677957,0.97010825414428,1.35794255818345,0.14802758298778,-0.023038074476524,0.32391478417358,0.173,0.841605199183367,0.0679957,0.057974055,0.081357335,0,0.0392141,-0.09370035,0.2104944,0.411,0.72615615,0.597684295,0.90617685,0.954542889680178,0.764913813963524,1.15972154485194,-0.055585125767313,-0.247234443075733,0.146120002559402,0.479,-0.290035605385747,0.02454665,0.019208635,0.03187025,0.015,0.222821,0.3732145,0.2627395,0.552872,0.2206775,0.388178,0.2530765,0.292424,0.221239,SL1344_2325,ubiX,SL1344_2325
2079,0.7541105,0.6499529,0.8782922,0.919158652764502,0.789198835212398,1.06645755891273,1.084385,0.7710125,1.383541,0.0255989,0.021911735,0.02945628,0.008194235,-0.064310205,0.09118692,0.6095,0.764264295,0.6485806,0.904315915,0.906946962207664,0.766487873145675,1.06871406016205,-0.009806529021971,-0.104521969430744,0.079912561541023,0.7765,-0.103536751554423,0.0324758,0.025769205,0.038781435,0.0545,-0.140598,-0.23326855,-0.05467817,0.0125,0.6123255,0.49791425,0.75706389,1.13199137053415,0.91557291084679,1.39210152993108,0.210292407351791,0.072161343058819,0.405145859697535,0.026,1.07923367443679,0.0658721,0.05010037,0.08084465,0,0.02978705,-0.1252945,0.2052474,0.4595,0.77988305,0.64623424,0.9877241,0.88878349240937,0.701761986044239,1.0725943294739,-0.035620048354417,-0.196223754392282,0.159316913331195,0.549,-0.221788458268947,0.01714065,0.012291055,0.02355198,0.0295,0.120681,0.284469,0.152165,0.632693,0.3391205,0.349397,0.2921,0.404992,0.4144375,SL1344_2326,,SL1344_2326
2080,0.542125,0.47491695,0.62881765,1.27857448335444,1.10230236645024,1.45951240847025,2.498765,2.3180185,2.6615525,0.05193835,0.047719815,0.057175005,-0.002273365,-0.0978553,0.08321247,0.6205,0.53830315,0.47820739,0.614440925,1.28765211579936,1.1280941013076,1.44946982232687,0.005339348333257,-0.203511875446181,0.226178939710388,0.624,0.024177495982315,0.0367891,0.03343226,0.0406499,0.001,-0.109645,-0.21346915,-0.01040645,0.071,0.432294,0.36216885,0.51947686,1.60341639080172,1.33431776302939,1.91387851429576,0.322541300736565,0.029657261447176,0.654815371259544,0.065,0.97070860879666,0.0657174,0.05938021,0.07441702,0.0055,0.0623039,-0.064415315,0.2106441,0.2825,0.610680315,0.49181887,0.74237085,1.13504097697206,0.933693971607283,1.4093545879107,-0.130899269912541,-0.403331254105402,0.142551718543949,0.2965,-0.480484221778728,0.0314862,0.024468435,0.041412065,0.0055,0.140853,0.3109525,0.1868795,0.4950555,0.3033435,0.4045135,0.2399595,0.238984,0.140445,SL1344_2327,,SL1344_2327
2081,0.770581,0.69128025,0.8677727,0.899512421763737,0.79876582980699,1.00270069541148,2.176025,2.0208845,2.3020915,0.0487885,0.043155855,0.055839645,0.1870305,0.08196915,0.3103981,0.0065,0.961182,0.849013025,1.0987974,0.721140413463289,0.630823473012057,0.816415258262653,-0.17763802225318,-0.278745513360214,-0.078166943739661,0.0175,-1.75692246250212,0.0469168,0.041018945,0.053767115,0.38,-0.01337175,-0.1286268,0.12841085,0.5405,0.75770255,0.64614055,0.915823595,0.914801171920781,0.756856676769462,1.07274990215078,0.015672925762056,-0.137057081316008,0.16431764324478,0.6435,0.105438834473731,0.0977976,0.081886205,0.11482155,0,-0.0471977,-0.1898752,0.15278385,0.388,0.7203827,0.59994145,0.92584759,0.962192985147851,0.748662299240276,1.15535807565655,0.059498338502689,-0.150764757792961,0.262400140270028,0.466,0.293237112654693,0.0338431,0.02616202,0.045564065,0.034,0.144724,0.49689,0.153873,0.5288945,0.195342,0.2825375,0.2743925,0.2836705,0.3323375,SL1344_2328,,SL1344_2328
2082,0.7130625,0.6357218,0.80739105,0.972070727684444,0.858502432721069,1.09033099210011,0.65017,0.29508555,1.053615,0.009870985,0.008204884,0.011973185,0.0530765,-0.04191078,0.1428554,0.2785,0.76501775,0.66357084,0.884209985,0.90605372484154,0.783916934379189,1.04457150206571,-0.066693256195641,-0.173688140070914,0.056240121597913,0.3995,-0.623331263889092,0.00840839,0.00613982,0.01115293,0.1955,-0.2371395,-0.3305483,-0.1532484,0,0.4775305,0.39558635,0.5687248,1.45152442491246,1.21877431957922,1.7522020577319,0.481301003344199,0.279197782897566,0.748287526334393,5.00E-04,1.80271647405168,0.0228498,0.017076105,0.031077555,5.00E-04,-0.01455915,-0.10743315,0.08714614,0.541,0.69915575,0.609190445,0.8205181505,0.991405964598142,0.844767671111065,1.1378169139445,0.020744137974788,-0.111936374363208,0.157361676680892,0.6525,0.151840958132128,0.007481685,0.005661202,0.010018865,0.0855,0.6671915,0.2804375,0.527254,0.577491,0.391518,0.255275,0.3798285,0.297089,0.4220745,SL1344_2330,,SL1344_2330
2083,0.6542255,0.54538015,0.7962741,1.05949276667385,0.870488180662015,1.27094318089504,3.12568,2.844734,3.6088365,0.04875115,0.042441985,0.056326685,-0.198869,-0.31673645,-0.07705778,0.0105,0.4507625,0.38528925,0.57768354,1.5377214874653,1.19987351693373,1.79903067949846,0.461624605966291,0.164030314799592,0.741711035424679,0.0115,1.64815056144973,0.03681235,0.02938701,0.04806045,0.056,-0.0814393,-0.2502709,0.089283065,0.2775,0.57172255,0.40768765,0.786690035,1.21238384044491,0.881093125881571,1.70019175391838,0.145301942716119,-0.136998072363616,0.616636151064791,0.31,0.308277948305912,0.0678969,0.05473208,0.084057715,0.017,-0.0559344,-0.2096604,0.13914785,0.349,0.5981688,0.45931927,0.803420975,1.15878190432823,0.862744745471626,1.50907491373047,0.103113840603774,-0.209048624411399,0.423050991930122,0.387,0.322294051116913,0.0342951,0.022737555,0.05234206,0.086,0.2529675,0.4656105,0.2885865,0.5966305,0.391052,0.449841,0.2691575,0.3967605,0.299492,SL1344_2331,purF,SL1344_2331
2084,0.648758,0.57954055,0.7257903,1.06842178599091,0.955024034948088,1.1960288665666,2.50666,2.3457515,2.6597215,0.02552585,0.02336458,0.02785611,-0.181211,-0.25720855,-0.10622065,5.00E-04,0.4660115,0.4255734,0.5211189,1.48740359581373,1.33011331468621,1.6287370887986,0.415805615980373,0.246026132508823,0.572093056152103,5.00E-04,2.66051843656459,0.01900835,0.0169404,0.021449585,0.0035,-0.0128728,-0.1210741,0.104213,0.5435,0.6329748,0.542763565,0.753245885,1.09506283860267,0.920214454515641,1.27707021277191,0.021504192481294,-0.161833456135748,0.217243535871461,0.594,0.109861370273579,0.03742145,0.033618305,0.042422485,0,-0.08951145,-0.2239116,0.064808925,0.2085,0.55584745,0.4391393,0.712830805,1.24700973363345,0.972386684107319,1.57842238104591,0.172118237285462,-0.106895960017248,0.518544209838393,0.228,0.496839876112823,0.03648655,0.02780397,0.0487752,0.0255,0.2672455,0.293353,0.195687,0.5270165,0.324646,0.408926,0.230562,0.2527595,0.1545845,SL1344_2332,cvpA,SL1344_2332
